Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
119,N2DCS,441.200000,+,5.000000,Tone,192.8,88.5,023,NN,FM,5.00,,,,,,
120,KC2IES,441.550000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
121,W2ZQ,442.650000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
122,WB2FYF,440.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
123,NE2E,440.450000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
124,K2MID,440.800000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
125,K2ETS,443.150000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
126,K2GE,443.200000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
127,KA2RLM,443.400000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
128,WB2SNN,443.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
129,NE2E,444.250000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
130,K2ODP,444.400000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
131,W2CJA,446.180000,-,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
132,KC2CWP,449.280000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
133,KC2QVK,442.150000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
134,N2DR,448.725000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
135,WS2Q,443.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
136,WB2CMK,449.175000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
137,N2NSV,444.500000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
138,WA2OCN,444.950000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
139,N3MSK,445.725000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
140,N2IKJ,447.125000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
141,WA2OCN,448.180000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
142,KB2OOJ,448.525000,-,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
