Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
83,MED2,463.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,MED3,463.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,MED4,463.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,MED5,463.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,MED6,463.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,MED7,463.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,MED8,463.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,MED9,463.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,MED10,463.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,SANI,159.105000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,BEL-EM,154.220000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,BEL-FG,153.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,BEL-DP,155.715000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,BLM-FI,477.337500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,BLM-PO,477.262500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
98,BLM-AL,476.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
99,NJIT-P,453.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
122,NOAA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
123,NOAA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
124,NOAA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
125,NOAA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
126,NOAA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
127,NOAA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
128,NOAA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
